Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Are you male or female?,How old are you?,Are you?,,How would you describe your role?,,What would make you feel happier at work?,,,,,,"In the last month, how often have you felt...",,,,,,"In the last month, has anything happened to make you feel more positive about your working life? ",," In the last month, has anything happened to make you feel less positive about your working life?",,How do you think Brexit will affect your current employment?,
6711312709,169394296,02/22/2018 10:46:03 AM,02/22/2018 10:48:53 AM,176.12.107.140,,,,,Male,18 - 29,Employed,,Frontline Employee / Team Member,,Instant benefits like cinema and retail discounts,"Longer term benefits like life insurance, health insurance and hospital plans",More money,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Quite often,Most of the time,Sometimes,Sometimes,Quite often,Quite often,Yes,,Yes,,In a negative way,
6710399560,169394296,02/21/2018 11:20:51 PM,02/21/2018 11:22:17 PM,188.220.24.208,,,,,Male,30 - 49,Employed,,Frontline Employee / Team Member,,,"Longer term benefits like life insurance, health insurance and hospital plans",,,,,Rarely / Not very often,Sometimes,Sometimes,Sometimes,Rarely / Not very often,Quite often,No,,No,,Not at all,
6710334501,169394296,02/21/2018 10:43:40 PM,02/21/2018 10:53:30 PM,82.5.90.20,,,,,Male,18 - 29,Employed,,Frontline Employee / Team Member,,,,More money,,,,Almost Never,Quite often,Rarely / Not very often,Quite often,Sometimes,Quite often,No,,No,,Not at all,
6710269459,169394296,02/21/2018 10:25:53 PM,02/21/2018 10:28:32 PM,213.205.194.61,,,,,Male,18 - 29,Employed,,Frontline Employee / Team Member,,,,More money,,,,Most of the time,Quite often,Most of the time,Most of the time,Sometimes,Quite often,No,,No,,Not at all,
6710161772,169394296,02/21/2018 09:44:12 PM,02/21/2018 09:44:33 PM,5.151.170.66,,,,,Female,18 - 29,Other,Student,,,,,,,,,,,,,,,,,,,,
6710119685,169394296,02/21/2018 09:28:27 PM,02/21/2018 09:30:26 PM,86.29.29.76,,,,,Male,18 - 29,Employed,,Frontline Employee / Team Member,,,,,More recognition from management and colleagues,,,Almost Never,Rarely / Not very often,Almost Never,Rarely / Not very often,Almost Never,Most of the time,No,,Yes,Verbal abuse from customers for something out of my control ,In a negative way,
6709757608,169394296,02/21/2018 07:19:12 PM,02/21/2018 07:19:31 PM,82.132.212.149,,,,,Male,18 - 29,Employed,,,,,,,,,,,,,,,,,,,,,
6709176670,169394296,02/21/2018 03:57:55 PM,02/21/2018 04:00:28 PM,92.40.248.9,,,,,Male,18 - 29,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,"Longer term benefits like life insurance, health insurance and hospital plans",More money,,,,Rarely / Not very often,Quite often,Quite often,Sometimes,Most of the time,Quite often,Yes,Internal promotion,Yes,Colleagues assuming less of the working responsibilities (Laziness). ,Not at all,
6709095186,169394296,02/21/2018 03:27:52 PM,02/21/2018 03:29:40 PM,176.27.243.44,,,,,Male,18 - 29,Employed,,Frontline Employee / Team Member,,,,More money,,,,Sometimes,Sometimes,Sometimes,Sometimes,Quite often,Quite often,No,,No,,I don't know,
6709039240,169394296,02/21/2018 03:05:52 PM,02/21/2018 03:08:49 PM,149.254.235.54,,,,,Male,18 - 29,Employed,,Frontline Employee / Team Member,,,"Longer term benefits like life insurance, health insurance and hospital plans",More money,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Quite often,Quite often,Quite often,Quite often,Quite often,Quite often,No,,No,,Other (please specify),Swings and roundabouts. Today's news tomorrow's fish paper. Just get on with it.
6708860918,169394296,02/21/2018 01:41:56 PM,02/21/2018 01:43:11 PM,82.132.219.220,,,,,Male,18 - 29,Employed,,Frontline Employee / Team Member,,Instant benefits like cinema and retail discounts,"Longer term benefits like life insurance, health insurance and hospital plans",More money,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Quite often,Quite often,Quite often,Most of the time,Quite often,Quite often,Yes,Pay raise ,No,,In a negative way,
6708853743,169394296,02/21/2018 01:37:54 PM,02/21/2018 01:39:17 PM,80.4.146.180,,,,,Male,30 - 49,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,"Longer term benefits like life insurance, health insurance and hospital plans",More money,More recognition from management and colleagues,,,Quite often,Quite often,Quite often,Quite often,Sometimes,Sometimes,No,,No,,In a negative way,
6708804679,169394296,02/21/2018 01:08:56 PM,02/21/2018 01:09:10 PM,82.35.199.238,,,,,Male,30 - 49,Unemployed / Retired,,,,,,,,,,,,,,,,,,,,,
6708788730,169394296,02/21/2018 12:58:46 PM,02/21/2018 01:01:35 PM,82.132.231.118,,,,,Male,30 - 49,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,,,,More autonomy,Almost Never,Rarely / Not very often,Rarely / Not very often,Rarely / Not very often,Rarely / Not very often,Rarely / Not very often,No,,No,,Other (please specify),"It means more work for me in the short term (not that I was short of it anyway), but a very uncertain future later."
6708777000,169394296,02/21/2018 12:50:56 PM,02/21/2018 12:53:06 PM,31.205.19.153,,,,,Female,18 - 29,Other,student,Other (please specify),student,,,More money,,,,Rarely / Not very often,Sometimes,Rarely / Not very often,Rarely / Not very often,Almost Never,Almost Never,Yes,"Good grades, interesting modules",Yes,Pointless assignments,Not at all,
6708686719,169394296,02/21/2018 11:46:55 AM,02/21/2018 11:49:52 AM,51.6.175.252,,,,,Male,30 - 49,Employed,,Frontline Employee / Team Member,,,,,,,Job security.   Achievable projects with the necessary support.,Sometimes,Quite often,Rarely / Not very often,Quite often,Rarely / Not very often,Almost Never,No,,Yes,"Two people in different departments have been ""let go"". I don't know why and therefore fear I may be next.",In a negative way,
6708639347,169394296,02/21/2018 11:12:25 AM,02/21/2018 12:51:23 PM,86.8.243.168,,,,,Male,18 - 29,Employed,,Frontline Employee / Team Member,,,,More money,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Almost Never,Sometimes,Sometimes,Rarely / Not very often,Rarely / Not very often,Rarely / Not very often,Yes,Bullying manager left.,Yes,Bullying manager.,I don't know,
6708631836,169394296,02/21/2018 11:07:02 AM,02/21/2018 11:07:11 AM,146.198.249.208,,,,,Male,18 - 29,Employed,,,,,,,,,,,,,,,,,,,,,
6708620692,169394296,02/21/2018 10:58:19 AM,02/21/2018 11:01:15 AM,128.243.2.12,,,,,Male,18 - 29,Other,Student,Other (please specify),Student,,,,,,If the government could stop fucking with my education,Almost Never,Rarely / Not very often,Rarely / Not very often,Rarely / Not very often,Quite often,Sometimes,No,,Yes,"Brexit, government, chancellors at universities, all being bellends.",In a negative way,
6708607765,169394296,02/21/2018 10:49:03 AM,02/21/2018 10:50:58 AM,5.69.180.221,,,,,Male,18 - 29,Employed,,Team Leader / Manager,,,,More money,More recognition from management and colleagues,,,Sometimes,Rarely / Not very often,Quite often,Quite often,Sometimes,Most of the time,No,,Yes,Being overlooked to cover the boss on his sabbatical and someone being brought in from elsewhere instead. ,I don't know,
6708607413,169394296,02/21/2018 10:48:49 AM,02/21/2018 10:51:43 AM,82.132.224.4,,,,,Male,30 - 49,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,"Longer term benefits like life insurance, health insurance and hospital plans",,,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Sometimes,Most of the time,Quite often,Quite often,Quite often,Quite often,Yes,"Company improving its stonewall workplace equality index score, which I had some involvement in.",No,,In a negative way,
6708600348,169394296,02/21/2018 10:43:00 AM,02/21/2018 10:47:16 AM,149.254.234.204,,,,,Male,30 - 49,Employed,,Frontline Employee / Team Member,,,,More money,,,,Almost Never,Almost Never,Sometimes,Sometimes,Sometimes,Quite often,No,,No,,I don't know,
6708571448,169394296,02/21/2018 10:20:57 AM,02/21/2018 10:21:14 AM,92.11.144.144,,,,,Male,30 - 49,Employed,,,,,,,,,,,,,,,,,,,,,
6708571428,169394296,02/21/2018 10:20:56 AM,02/21/2018 10:28:10 AM,149.254.234.222,,,,,Male,18 - 29,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,More money,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Sometimes,Rarely / Not very often,Sometimes,Most of the time,Quite often,Most of the time,Yes,"I applied for another job and whilst I didn't get it they gave me really great feedback, which boosted my confidence",Yes,"I had to do a last minute task this week that had me in the office until 9pm. The MD didn't even thank me the next day, and ended up rescheduling his day so that there had been no point in me staying late. I missed my team's basketball game because of this, which until now I've mostly been able to ringfence.",I don't know,
6708561908,169394296,02/21/2018 10:13:54 AM,02/21/2018 10:16:03 AM,94.192.191.254,,,,,Male,30 - 49,Employed,,Team Leader / Manager,,Instant benefits like cinema and retail discounts,"Longer term benefits like life insurance, health insurance and hospital plans",More money,More recognition from management and colleagues,,,Rarely / Not very often,Rarely / Not very often,Sometimes,Sometimes,Sometimes,Sometimes,No,,Yes,Change in finance processes and redundancies,In a negative way,
6708560827,169394296,02/21/2018 10:12:47 AM,02/21/2018 10:13:15 AM,82.132.231.222,,,,,Male,30 - 49,Self-Employed,,,,,,,,,,,,,,,,,,,,,
6708559248,169394296,02/21/2018 10:11:37 AM,02/21/2018 10:14:34 AM,151.224.225.41,,,,,Female,50+,Self-Employed,,Director / Company Owner,,,,,,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Quite often,Most of the time,Most of the time,Most of the time,Most of the time,Quite often,No,,Yes,Customer s being rude!,I don't know,
6708551057,169394296,02/21/2018 10:04:55 AM,02/21/2018 10:05:57 AM,83.100.194.243,,,,,Male,30 - 49,Other,Benefit,,,,,,,,,,,,,,,,,,,,
6708533385,169394296,02/21/2018 09:51:04 AM,02/21/2018 09:51:39 AM,2.223.161.167,,,,,Female,50+,Unemployed / Retired,,,,,,,,,,,,,,,,,,,,,
6708531282,169394296,02/21/2018 09:49:29 AM,02/21/2018 09:51:52 AM,94.4.6.211,,,,,Male,18 - 29,Other,Student,Frontline Employee / Team Member,,Instant benefits like cinema and retail discounts,,More money,,,,Quite often,Quite often,Sometimes,Quite often,Sometimes,Most of the time,No,,No,,I don't know,
6708526347,169394296,02/21/2018 09:45:20 AM,02/21/2018 09:50:34 AM,213.205.242.214,,,,,Male,30 - 49,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,More money,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Rarely / Not very often,Rarely / Not very often,Sometimes,Sometimes,Rarely / Not very often,Sometimes,No,,No,,I don't know,
6708523780,169394296,02/21/2018 09:43:29 AM,02/21/2018 09:46:06 AM,213.205.251.71,,,,,Male,18 - 29,Employed,,Frontline Employee / Team Member,,Instant benefits like cinema and retail discounts,"Longer term benefits like life insurance, health insurance and hospital plans",More money,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Almost Never,Almost Never,Almost Never,Almost Never,Almost Never,Almost Never,Yes,Progressed towards a new job,Yes,Current employer delaying my opportunity to take a new job,I don't know,
6708503397,169394296,02/21/2018 09:26:21 AM,02/21/2018 09:28:35 AM,89.240.2.225,,,,,Male,18 - 29,Employed,,Frontline Employee / Team Member,,Instant benefits like cinema and retail discounts,,,More recognition from management and colleagues,,,Almost Never,Rarely / Not very often,Almost Never,Sometimes,Rarely / Not very often,Sometimes,No,,Yes,"Get up go to work die, living pay check to pay check to try and survive while taking abuse from customers daily. Death will be a release from this tormented routine",Not at all,
6708499263,169394296,02/21/2018 09:22:57 AM,02/21/2018 09:24:40 AM,86.13.39.128,,,,,Male,18 - 29,Employed,,Frontline Employee / Team Member,,,,More money,More recognition from management and colleagues,,,Almost Never,Almost Never,Almost Never,Almost Never,Almost Never,Sometimes,No,,No,,I don't know,
6708494885,169394296,02/21/2018 09:19:19 AM,02/21/2018 09:20:08 AM,82.132.217.63,,,,,Male,30 - 49,Employed,,Frontline Employee / Team Member,,,,,More recognition from management and colleagues,,,Rarely / Not very often,Rarely / Not very often,Rarely / Not very often,Quite often,Rarely / Not very often,Rarely / Not very often,No,,No,,Not at all,
6708491556,169394296,02/21/2018 09:16:16 AM,02/21/2018 09:18:32 AM,94.197.120.245,,,,,Male,30 - 49,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,"Longer term benefits like life insurance, health insurance and hospital plans",More money,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Rarely / Not very often,Rarely / Not very often,Rarely / Not very often,Sometimes,Sometimes,Sometimes,No,,Yes,Homophobic attitude and comments made my colleagues and managers. The erosion of terms and conditions and degradation of pension scheme. Limited pay rises of 1%,Not at all,
6708489243,169394296,02/21/2018 09:14:05 AM,02/21/2018 09:15:13 AM,151.225.68.87,,,,,Male,30 - 49,Employed,,Frontline Employee / Team Member,,,,More money,,,,Sometimes,Quite often,Sometimes,Quite often,Sometimes,Sometimes,No,,No,,In a negative way,
6708489151,169394296,02/21/2018 09:14:07 AM,02/21/2018 09:15:46 AM,85.255.233.122,,,,,Male,30 - 49,Employed,,Frontline Employee / Team Member,,,,More money,,,Location independence ,Most of the time,Almost Never,Almost Never,Almost Never,Almost Never,Almost Never,No,,Yes,Everything ,In a negative way,
6708482136,169394296,02/21/2018 09:08:01 AM,02/21/2018 09:08:16 AM,213.205.251.194,,,,,Male,30 - 49,Self-Employed,,,,,,,,,,,,,,,,,,,,,
6708482081,169394296,02/21/2018 09:07:46 AM,02/21/2018 09:11:25 AM,82.132.229.43,,,,,Male,18 - 29,Employed,,Other (please specify),Packager,,,More money,,,,Rarely / Not very often,Rarely / Not very often,Rarely / Not very often,Quite often,Almost Never,Most of the time,No,,Yes,,Other (please specify),"This is what the surveys really about isn't it?...stop clutching at straws and leave, leave Europe, and never go back"
6708480494,169394296,02/21/2018 09:06:39 AM,02/21/2018 09:07:52 AM,86.19.218.153,,,,,Male,18 - 29,Employed,,Frontline Employee / Team Member,,Instant benefits like cinema and retail discounts,"Longer term benefits like life insurance, health insurance and hospital plans",More money,,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Almost Never,Quite often,Sometimes,Most of the time,Most of the time,Most of the time,No,,No,,In a negative way,
6708477501,169394296,02/21/2018 09:03:55 AM,02/21/2018 09:05:16 AM,159.253.162.14,,,,,Male,50+,Employed,,Team Leader / Manager,,,"Longer term benefits like life insurance, health insurance and hospital plans",More money,More recognition from management and colleagues,,,Quite often,Quite often,Sometimes,Sometimes,Sometimes,Sometimes,No,,No,,I don't know,
6708465932,169394296,02/21/2018 08:53:39 AM,02/21/2018 08:54:05 AM,81.111.105.80,,,,,Female,50+,Unemployed / Retired,,,,,,,,,,,,,,,,,,,,,
6708464883,169394296,02/21/2018 08:52:46 AM,02/21/2018 08:53:55 AM,82.18.201.54,,,,,Male,18 - 29,Employed,,Frontline Employee / Team Member,,Instant benefits like cinema and retail discounts,,More money,More recognition from management and colleagues,,,Almost Never,Sometimes,Sometimes,Quite often,Sometimes,Quite often,No,,No,,In a negative way,
6708458286,169394296,02/21/2018 08:46:34 AM,02/21/2018 08:48:27 AM,5.69.80.183,,,,,Male,30 - 49,Employed,,Team Leader / Manager,,,,More money,,,,Almost Never,Almost Never,Rarely / Not very often,Sometimes,Rarely / Not very often,Sometimes,No,,Yes,Rising costs of everything ,In a negative way,
6708447692,169394296,02/21/2018 08:36:28 AM,02/21/2018 08:38:47 AM,80.6.65.210,,,,,Male,30 - 49,Employed,,Team Leader / Manager,,,,More money,More recognition from management and colleagues,,Better working environment,Rarely / Not very often,Rarely / Not very often,Rarely / Not very often,Sometimes,Rarely / Not very often,Rarely / Not very often,No,,Yes,New manager,In a negative way,
6708441937,169394296,02/21/2018 08:30:49 AM,02/21/2018 08:32:09 AM,90.216.238.137,,,,,Male,18 - 29,Employed,,Frontline Employee / Team Member,,,,More money,,,,Rarely / Not very often,Sometimes,Sometimes,Sometimes,Rarely / Not very often,Most of the time,No,,Yes,,Not at all,
6708440659,169394296,02/21/2018 08:29:25 AM,02/21/2018 08:32:13 AM,188.29.164.207,,,,,Male,30 - 49,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,,,,More colleagues less work,Most of the time,Quite often,Quite often,Most of the time,Most of the time,Most of the time,No,,Yes,Job cuts. More work,In a negative way,
6708439079,169394296,02/21/2018 08:28:05 AM,02/21/2018 08:28:18 AM,85.255.237.45,,,,,Male,30 - 49,Contracting,,,,,,,,,,,,,,,,,,,,,
6708438552,169394296,02/21/2018 08:27:33 AM,02/21/2018 08:28:55 AM,82.132.212.117,,,,,Male,18 - 29,Employed,,Frontline Employee / Team Member,,,,More money,More recognition from management and colleagues,,More staff,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / Not very often,No,,Yes,Staff loss,Not at all,
6708436141,169394296,02/21/2018 08:25:18 AM,02/21/2018 08:28:35 AM,213.205.242.48,,,,,Male,30 - 49,Employed,,Senior Manager / Department Head,,,,,,,Less long-hours culture ,Almost Never,Sometimes,Sometimes,Quite often,Sometimes,Most of the time,No,,Yes,Constant ‘efficiency savings’ = headcount reductions without better systems etc,In a negative way,
6708430252,169394296,02/21/2018 08:19:51 AM,02/21/2018 08:25:02 AM,79.70.28.0,,,,,Male,18 - 29,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,More money,More recognition from management and colleagues,,Flexible work hours and ability to work from home,Sometimes,Quite often,Quite often,Most of the time,Quite often,Quite often,No,,Yes,Being told off for very human mistakes,I don't know,
6708425047,169394296,02/21/2018 08:14:43 AM,02/21/2018 08:17:25 AM,85.255.234.116,,,,,Female,18 - 29,Employed,,Frontline Employee / Team Member,,,,More money,More recognition from management and colleagues,,,Sometimes,Quite often,Quite often,Quite often,Sometimes,Most of the time,Yes,"Actually being busier since Christmas with my own work, being able to help others and getting good reviews for it",Yes,"In helping others I am doing the same work as them but for a much lesser wage, my role is also about to change to pick up more of what my colleagues do every day but my pay is not being matched or even increased",In a negative way,
6708420383,169394296,02/21/2018 08:10:19 AM,02/21/2018 08:13:05 AM,82.132.241.221,,,,,Male,30 - 49,Other,D,Other (please specify),Taxi driver,Instant benefits like cinema and retail discounts,,,,,,Quite often,Quite often,Quite often,Quite often,Sometimes,Rarely / Not very often,No,,No,,Other (please specify),There will be less money about 
6708407385,169394296,02/21/2018 07:57:09 AM,02/21/2018 07:58:59 AM,78.146.131.152,,,,,Male,18 - 29,Employed,,Frontline Employee / Team Member,,,,,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Almost Never,Rarely / Not very often,Sometimes,Rarely / Not very often,Sometimes,Almost Never,No,,Yes,,I don't know,
6708394783,169394296,02/21/2018 07:44:13 AM,02/21/2018 07:47:42 AM,94.5.189.250,,,,,Male,30 - 49,Employed,,Senior Manager / Department Head,,,,More money,More recognition from management and colleagues,,Job security  Flexibility in hours  ,Quite often,Most of the time,Quite often,Quite often,Most of the time,Quite often,No,,Yes,Organisational change with a lack of transparency from executive team. Threats of job losses and changes to job roles. Negative changes to our terms and conditions pushed through ,In a negative way,
6708391231,169394296,02/21/2018 07:40:47 AM,02/21/2018 07:45:15 AM,81.111.74.106,,,,,Male,30 - 49,Employed,,Frontline Employee / Team Member,,,,,,,Long term job security.,Sometimes,Quite often,Quite often,Quite often,Sometimes,Sometimes,No,,Yes,Probation period extended.,Not at all,
6708387329,169394296,02/21/2018 07:37:00 AM,02/21/2018 07:39:06 AM,213.205.198.203,,,,,Male,18 - 29,Employed,,Frontline Employee / Team Member,,,,More money,More recognition from management and colleagues,,A lighter workload,Almost Never,Rarely / Not very often,Almost Never,Rarely / Not very often,Rarely / Not very often,Sometimes,No,,Yes,Keep being reminded about looming l.p. redundancy.,Not at all,
6708377242,169394296,02/21/2018 07:24:45 AM,02/21/2018 07:26:18 AM,86.8.182.180,,,,,Male,30 - 49,Self-Employed,,,,,,,,,,,,,,,,,,,,,
6708372695,169394296,02/21/2018 07:21:27 AM,02/21/2018 07:22:43 AM,176.25.27.16,,,,,Male,30 - 49,Employed,,Frontline Employee / Team Member,,,"Longer term benefits like life insurance, health insurance and hospital plans",,,,,Most of the time,Most of the time,Quite often,Sometimes,Rarely / Not very often,Quite often,No,,No,,I don't know,
6708367190,169394296,02/21/2018 07:15:32 AM,02/21/2018 07:23:44 AM,151.230.144.135,,,,,Male,30 - 49,Employed,,Frontline Employee / Team Member,,,,,,,"More money, but only because everything is so expensive now. I actually get paid quite well, but I’m struggling and in debt. I shudder to think how people who don’t earn much get by - no wonder we have food banks.",Rarely / Not very often,Sometimes,Sometimes,Quite often,Rarely / Not very often,Sometimes,No,,No,,Other (please specify),It already has. We have lost clients because of Brexit. There are likely to be redundancies.
6708358253,169394296,02/21/2018 07:05:46 AM,02/21/2018 07:09:50 AM,109.156.146.165,,,,,Male,18 - 29,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,,,,More useful professional development,Sometimes,Quite often,Sometimes,Quite often,Most of the time,Sometimes,Yes,Praise from management,No,,Not at all,
6708308462,169394296,02/21/2018 06:13:44 AM,02/21/2018 06:13:57 AM,94.197.120.49,,,,,Male,30 - 49,Employed,,,,,,,,,,,,,,,,,,,,,
6708270623,169394296,02/21/2018 05:36:02 AM,02/21/2018 05:36:25 AM,81.96.127.245,,,,,Male,18 - 29,Unemployed / Retired,,,,,,,,,,,,,,,,,,,,,
6708211844,169394296,02/21/2018 04:43:39 AM,02/21/2018 04:46:03 AM,82.45.239.117,,,,,Male,18 - 29,Employed,,Frontline Employee / Team Member,,Instant benefits like cinema and retail discounts,,More money,,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Sometimes,Quite often,Quite often,Quite often,Sometimes,Most of the time,Yes,"Managers praise Me, and received a nice little trophy for best December sales.",No,,Not at all,
6708167917,169394296,02/21/2018 04:07:34 AM,02/21/2018 04:12:13 AM,86.5.68.134,,,,,Male,30 - 49,Employed,,Team Leader / Manager,,,,More money,,,,Rarely / Not very often,Rarely / Not very often,Rarely / Not very often,Rarely / Not very often,Sometimes,Sometimes,No,,No,,I don't know,
6708143691,169394296,02/21/2018 03:49:00 AM,02/21/2018 03:50:12 AM,82.18.187.115,,,,,Male,30 - 49,Other,Sick ,,,,,,,,,,,,,,,,,,,,
